Time,Fixed-Point-Operation,Node,Label,Old Bound,New Bound,Occurred Due To
0,0,Adrian Monk,type_mission,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Adrian Monk,mission_id-2,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Adrian Monk,medevac_needed,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Adrian Monk,evac_needed,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,resupply_needed,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,require_vtol,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Adrian Monk,require_ctol,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,require_ground,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,litters_spaces_required-2,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Adrian Monk,ambulatory_spaces_required-3,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Adrian Monk,weather_condition_clear,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Adrian Monk,day_mission,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Adrian Monk,night_mission,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,require_iv_provisions,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,require_medical_monitoring_system,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,require_life_support_equipment,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,require_oxygen_generation_system,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Adrian Monk,require_patient_litter_lift_system,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Natalie Tieger,type_mission,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Natalie Tieger,mission_id-3,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Natalie Tieger,medevac_needed,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Natalie Tieger,evac_needed,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Natalie Tieger,resupply_needed,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Natalie Tieger,require_vtol,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Natalie Tieger,require_ctol,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Natalie Tieger,require_ground,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Natalie Tieger,ambulatory_spaces_required,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Natalie Tieger,weather_condition_clear,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Natalie Tieger,day_mission,"[0.0,1.0]","[1.0,1.0]",graph-attribute-fact
0,0,Natalie Tieger,night_mission,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Natalie Tieger,require_iv_provisions,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Natalie Tieger,require_medical_monitoring_system,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
0,0,Natalie Tieger,require_life_support_equipment,"[0.0,1.0]","[0.0,0.0]",graph-attribute-fact
